entity,relation,doc,keywordList
未按规定计提政府性基金收入审计,定性依据,（一）《水利建设基金筹集和使用管理办法》（财综〔2011〕2号）“第三条中央水利建设基金的来源：（一）从车辆购置税收入中定额提取。（二）从铁路建设基金、港口建设费收入中提取3%。（三）经国务院批准的其他可用于水利建设基金的资金。第四条地方水利建设基金的来源：（一）从地方收取的政府性基金和行政事业性收费收入中提取3%。应提取水利建设基金的地方政府性基金和行政事业性收费项目包括：车辆通行费、城市基础设施配套费、征地管理费，以及省、自治区、直辖市人民政府确定的政府性基金和行政事业性收费项目。（二）经财政部批准，各省、自治区、直辖市向企事业单位和个体经营者征收的水利建设基金。（三）地方人民政府按规定从中央对地方成品油价格和税费改革转移支付资金中足额安排资金，划入水利建设基金。（四）有重点防洪任务和水资源严重短缺的城市要从征收的城市维护建设税中划出不少于15%的资金，用于城市防洪和水源工程建设。具体比例由省、自治区、直辖市人民政府确定。”（二）《用于农业土地开发的土地出让金收入管理办法》（国发〔2004〕8号）“第六条市（地、州、盟）、县（市、旗）财政部门根据同级国土资源管理部门提供的土地出让面积、城镇土地级别、土地出让平均纯收益征收标准和各省（自治区、直辖市）及计划单列市人民政府规定的土地出让金用于农业土地开发的比例（不低于15%），计算应从土地出让金中划出的农业土地开发资金，并按照专账管理的原则和土地出让金缴交情况，由财政部门在次月5日前办理土地出让金清算时，按级次分别开具缴款书，办理缴库手续，将属于本市（地、州、盟）、县（市、旗）的用于农业土地开发的土地出让金收入（不低于农业土地开发资金的70%部分）缴入同级国库用于农业土地开发的土地出让金收入专账；将属于各省（自治区、直辖市）及计划单列市集中的用于农业土地开发的土地出让金收入（不高于农业土地开发资金30%的部分）按就地缴库方式缴入省国库用于农业土地开发的土地出让金收入专账。第七条各省（自治区、直辖市）及计划单列市人民政府要加强对用于农业土地开发的土地出让金收缴的监督，保证土地出让金专户资金优先足额划入用于农业土地开发的资金专账。”（三）《国务院办公厅关于规范国有土地使用权出让收支管理的通知》（国办发〔2006〕100号）“三、规范土地出让收入使用范围，重点向新农村建设倾斜……为加强土地调控，由财政部门从缴入地方国库的土地出让收入中，划出一定比例资金，用于建立国有土地收益基金，实行分账核算，具体比例由省、自治区、直辖市及计划单列市人民政府确定，并报送财政部和国土资源部备案。国有土地收益基金主要用于土地收购储备。”(四)《财政部关于关于从土地出让收益中计提教育资金有关事项的通知》（财综[2011]62号）“一、统一计提教育资金口径，增设科目单独核算从2011年1月1日起，各省、自治区、直辖市、计划单列市（以下简称各地区）所辖市、县（区），统一按照当年实际缴入地方国库的招标、拍卖、挂牌和协议出让国有土地使用权取得的土地出让收入，扣除当年从地方国库中实际支付的征地和拆迁补偿支出、土地开发支出、计提农业土地开发资金支出、补助被征地农民社会保障支出、保持被征地农民原有生活水平补贴支出、支付破产或改制企业职工安置费支出、支付土地出让业务费、缴纳新增建设用地土地有偿使用费等相关支出项目后，作为计提教育资金的土地出让收益口径，严格按照10%的比例计提教育资金。从土地出让收益中计提的教育资金，作为各地区计算财政性教育经费来源之一，各地区不得由此减少应当由公共财政预算安排的教育经费。为确保各地区及时足额从土地出让收益中计提教育资金，在《2011年政府收支分类科目》中，增设“103014804教育资金收入”科目，反映从土地出让收益中计提的教育资金，并在地方国库中实行分账核算。”（五）《财政部关于保障性安居工程资金使用管理有关问题的通知》（财综[2010]95号）“二、允许土地出让净收益用于发展公共租赁住房为切实解决城市中等偏下收入家庭住房困难，从2010年起，各地在确保完成当年廉租住房保障任务的前提下，可将现行从土地出让净收益中安排不低于10%的廉租住房保障资金，统筹用于发展公共租赁住房，包括购买、新建、改建、租赁公共租赁住房，贷款贴息，向承租公共租赁住房的廉租住房保障家庭发放租赁补贴。从土地出让净收益安排资金用于发展公共租赁住房支出时，填列《政府收支分类科目》212类“城乡社区事务”08款“国有土地使用权出让收入安排的支出”11项“公共租赁住房支出”科目。”（六）《财政部关于从土地出让收益中计提农田水利建设资金有关事项的通知》（财综〔2011〕48号）“一、统一从土地出让收益中计提农田水利建设资金的口径从2011年7月1日起，各省、自治区、直辖市、计划单列市（以下简称各地区）所辖市、县（区），统一按照当年实际缴入地方国库的招标、拍卖、挂牌和协议出让国有土地使用权取得的土地出让收入，扣除当年从地方国库中实际支付的征地和拆迁补偿支出、土地开发支出、计提农业土地开发资金支出、补助被征地农民社会保障支出、保持被征地农民原有生活水平补贴支出、支付破产或改制企业职工安置费支出、支付土地出让业务费、缴纳新增建设用地土地有偿使用费等相关支出项目后，作为计提农田水利建设资金的土地出让收益口径，严格按照10%的比例计提农田水利建设资金。”,农田水利建设;土地出让收入;土地出让收益;用于;征地农民;土地出让金;直辖市;基金;人民政府;农业;土地;财政部关于从土地出让收益中计提农田水利建设资金有关事项的通知;用于农业土地开发的土地出让金收入管理办法;财政部关于关于从土地出让收益中计提教育资金有关事项的通知;水利建设基金筹集和使用管理办法
未按规定计提政府性基金收入审计,处罚依据,《财政违法行为处罚处分条例》（中华人民共和国国务院令第427号）“第四条财政收入执收单位及其工作人员有下列违反国家财政收入上缴规定的行为之一的，责令改正，调整有关会计账目，收缴应当上缴的财政收入，限期退还违法所得。对单位给予警告或者通报批评。对直接负责的主管人员和其他直接责任人员给予记大过处分；情节较重的，给予降级或者撤职处分；情节严重的，给予开除处分：（一）隐瞒应当上缴的财政收入；（二）滞留、截留、挪用应当上缴的财政收入；（三）坐支应当上缴的财政收入；（四）不依照规定的财政收入预算级次、预算科目入库；（五）违反规定退付国库库款或者财政专户资金；（六）其他违反国家财政收入上缴规定的行为。”,中华人民共和国国务院令;财政违法行为处罚处分条例;财政收入;隐瞒应当上缴的财政收入;撤职处分;第四条;会计账目;上缴;国家财政收入;给予
虚假发票套取资金,审计疑点,对某公司2006年1月至2007年6月期间费用支出检查发现，A中心支公司的业务规模与相关费用科目列支情况不匹配，列支金额明显超出公司正常经营。,费用支出;相关费用;支公司;业务规模;列支
虚假发票套取资金,审计方法,对存在疑点的有关发票进行了税务验证，确认了部分发票属于假发票或是购票单位与出票单位名称不一致的事实。经查实，A中心支公司在“营业费用”科目下的“印刷费”、“公杂费”、“车辆费用”、“差旅费”、“会议费”、“电子设备运转费”等6个二级科目中共列支所报账事由与实际事项内容不一致的费用共718，999、70元，上述科目本期间共列支金额为2，048，689、49元，报账事由与实际事项内容不一致的费用占该期间6个科目所列支金额35、10%。,车辆费用;营业费用;发票;列支;单位名称
一人多次开户审计,定性依据,法规名称：《住房公积金管理条例》发文文号：（2002年3月24日中华人民共和国国务院令第350号）法规条目：第十三条住房公积金管理中心应当在受委托银行设立住房公积金专户。单位应当到住房公积金管理中心办理住房公积金缴存登记，经住房公积金管理中心审核后，到受委托银行为本单位职工办理住房公积金账户设立手续。每个职工只能有一个住房公积金账户。住房公积金管理中心应当建立职工住房公积金明细帐，记载职工个人住房公积金的缴存、提取等情况。第十四条新设立的单位应当自设立之日起30日内到住房公积金管理中心办理住房公积金缴存登记，并自登记之日起20日内持住房公积金管理中心的审核文件，到受委托银行为本单位职工办理住房公积金账户设立手续。单位合并、分立、撤销、解散或者破产的，应当自发生上述情况之日起30日内由原单位或者清算组织到住房公积金管理中心办理变更登记或者注销登记，并自办妥变更登记或者注销登记之日起20日内持住房公积金管理中心的审核文件，到受委托银行为本单位职工办理住房公积金账户转移或者封存手续。第十五条单位录用职工的，应当自录用之日起30日内到住房公积金管理中心办理缴存登记，并持住房公积金管理中心的审核文件，到受委托银行办理职工住房公积金账户的设立或者转移手续。单位与职工终止劳动关系的，单位应当自劳动关系终止之日起30日内到住房公积金管理中心办理变更登记，并持住房公积金管理中心的审核文件，到受委托银行办理职工住房公积金账户转移或者或者封存手续。,住房公积金专户;住房公积金管理条例;第十三条;法规条目;法规名称;职工住房公积金;劳动关系;发文文号;办理;变更登记;单位;之日起;住房公积金管理;住房公积金;职工住房公积金账户转移
多头开设资金账户审计,审计方法,"具体审计步骤：一、一个资金账号对应多个股东账户。从客户基本信息表中制作出一张包含“ZJZH”和“GDDM”两个字段的“资金股东对应表”。供参考的类SQL描述有：select[zjzh],[gddm]into资金股东对应表from[业务_客户基本信息表]二、一个资金账号对应多个股东账户。从“资金股东对应表”中生成一个按照“zjzh”字段进行分组同时计算对应“zjzh”的股东数的“资金股东对应数”中间表从“资金股东对应表”(运用AO软件中“审计分析—数据分析—执行SQL到分组表—添加表”功能，将新增的表添加进用户自定义项)中生成一个按照“zjzh”字段进行分组同时计算对应“zjzh”的股东数的“资金股东对应数”中间表。供参考的类SQL描述有：selectDISTINCT[zjzh],count([gddm])as股东数into资金股东对应数from[资金股东对应表]groupby[zjzh]",数据分析;资金账号;信息表;股东账户;select;selectDISTINCT;对应;资金;表添;客户
固定资产审计,处罚依据,1.《中华人民共和国会计法》第四十二条“违反本法规定，有下列行为之一的，由县级以上人民政府财政部门责令限期改正，可以对单位并处三千元以上五万元以下的罚款；对其直接负责的主管人员和其他直接责任人员，可以处二千元以上二万元以下的罚款；属于国家工作人员的，还应当由其所在单位或者有关单位依法给予行政处分：．．．．．．；三、未按照规定填制、取得原始凭证或者填制、取得的原始凭证不符合规定的行为。四、以未经审核的会计凭证为依据登记会计账簿或者登记会计账簿不符合规定的行为。（五）随意变更会计处理方法的；．．．．．．。有前款所列行为之一，构成犯罪的，依法追究刑事责任。会计人员有第一款所列行为之一，情节严重的，由县级以上人民政府财政部门吊销会计从业资格证书。有关法律对第一款所列行为的处罚另有规定的，依照有关法律的规定办理。”2.《中华人民共和国刑法》第二百零一条“纳税人采取欺骗、隐瞒手段进行虚假纳税申报或者不申报，逃避缴纳税款数额较大并且占应纳税额百分之十以上的，处三年以下有期徒刑或者拘役，并处罚金；数额巨大并且占应纳税额百分之三十以上的，处三年以上七年以下有期徒刑，并处罚金。扣缴义务人采取前款所列手段，不缴或者少缴已扣、已收税款，数额较大的，依照前款的规定处罚。对多次实施前两款行为，未经处理的，按照累计数额计算。有第一款行为，经税务机关依法下达追缴通知后，补缴应纳税款，缴纳滞纳金，已受行政处罚的，不予追究刑事责任；但是，五年内因逃避缴纳税款受过刑事处罚或者被税务机关给予二次以上行政处罚的除外。”3.《中华人民共和国刑法》第三百八十二条“国家工作人员利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有公共财物的，是贪污罪。受国家机关、国有公司、企业、事业单位、人民团体委托管理、经营国有财产的人员，利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有国有财物的，以贪污论。”,国家工作人员;财政部门;中华人民共和国会计法;第四十二条;规定;会计账簿;依法;符合规定;人民政府;中华人民共和国刑法;会计从业资格证书;采取;有关;逃避;会计处理方法
不征税收入合规性,定性依据,财政部国家税务总局《关于专项用途财政性资金企业所得税处理问题的通知》（财税〔2011〕70号）第一条企业从县级以上各级人民政府财政部门及其他部门取得的应计入收入总额的财政性资金，凡同时符合以下条件的，可以作为不征税收入，在计算应纳税所得额时从收入总额中减除：……（三）企业对该资金以及以该资金发生的支出单独进行核算。第二条根据实施条例第二十八条的规定，上述不征税收入用于支出所形成的费用，不得在计算应纳税所得额时扣除；用于支出所形成的资产，其计算的折旧、摊销不得在计算应纳税所得额时扣除。,关于专项用途财政性资金企业所得税处理问题的通知;财政部;支出;应纳税所得额;形成
不征税收入合规性,处罚依据,中华人民共和国税收征收管理法(主席令第四十九号)（2013年修正本）第六十四条纳税人、扣缴义务人编造虚假计税依据的，由税务机关责令限期改正，并处五万元以下的罚款。纳税人不进行纳税申报，不缴或者少缴应纳税款的，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款。,税务机关;中华人民共和国税收征收管理法;纳税人;主席令;扣缴
擅自挪用和处置国际组织贷援款物资审计,定性依据,1．财政部《国际金融组织和外国政府贷款赠款管理办法》（2006年财政部第38号令）“第二十八条贷款资金的使用应当符合贷款法律文件的规定，……不得以任何理由和形式滞留、截留、挪用贷款资金或者擅自改变贷款资金用途。”“第四十九条赠款资金的使用应当符合赠款法律文件的规定，……不得以任何理由和形式滞留、截留、挪用赠款资金或者擅自改变赠款资金用途。”2．财政部《外国政府贷款管理规定》（财金〔2008〕176号）“第十一条项目单位履行下列职责：……按照可行性研究报告要求落实有关工作，包括落实项目配套资金、保证贷款采购设备物资的有效使用、按照工程进度完成项目实施等；……。”“第三十二条项目单位不得擅自处置贷款采购的设备物资。确需处置长期闲置设备物资的，项目单位应当履行内部决策程序，按国家有关规定进行处置，并及时将处置结果报省级财政部门备案。”3．《世界银行贷款项目采购管理暂行规定》（财世司字〔1996〕167号）“第八条纪律……项目采购物资、设备只能用于本项目、不得擅自转让、变卖或串换。”4．财政部《国际金融组织贷款赠款项目财务管理暂行办法》（财际〔2011〕10号）“第三十二条进口的物资设备原则上不得转让出售。确有多余的，应逐级上财政部，统一商国际金融组织后进行处理，并按有关程序补报关税。”“第三十六条项目资产的转移、出售、抵押、置换以及报废清理，应当按照国家有关规定和项目单位财务管理制度的权限和程序进行。”5．财政部《外国政府贷款管理规定》（财金〔2008〕176号）“第三十二条项目单位不得擅自处置贷款采购的设备物资。确需处置长期闲置设备物资的，项目单位应当履行内部决策程序，按国家有关规定进行处置，并及时将处置结果报省级财政部门备案。影响到项目正常建设和实施的，及时报告财政部。”,国际金融组织和外国政府贷款赠款管理办法;世界银行贷款项目采购管理暂行规定;外国政府贷款管理规定;处置;第三十二条;项目;项目单位;国际金融组织贷款赠款项目财务管理暂行办法;法律文件;擅自改变;设备物资;进行;不得;任何理由;财政部门
擅自挪用和处置国际组织贷援款物资审计,处罚依据,注：本词条中的处理处罚依据，部分条款明文规定的执法主体不是审计机关，审计机关不能据此直接作出处理处罚决定，应移交给有关部门进行处理处罚，但可作为对审计查出问题进行定性和处理处罚的参考。1．《财政违法行为处罚处分条例》“第十二条国家机关及其工作人员有下列行为之一的，责令改正，调整有关会计账目，追回被挪用、骗取的有关资金，没收违法所得。对单位给予警告或者通报批评。对直接负责的主管人员和其他直接责任人员给予降级处分；情节较重的，给予撤职处分；情节严重的，给予开除处分：……（四）其他违反规定使用、骗取政府承贷或者担保的外国政府贷款、国际金融组织贷款的行为。”“第十四条企业和个人有下列行为之一的，责令改正，调整有关会计账目，追回违反规定使用、骗取的有关资金，给予警告，没收违法所得，并处被骗取有关资金10%以上50%以下的罚款或者被违规使用有关资金10%以上30%以下的罚款；对直接负责的主管人员和其他直接责任人员处3000元以上5万元以下的罚款：……（三）从无偿使用的财政资金以及政府承贷或者担保的外国政府贷款、国际金融组织贷款中非法获益；（四）其他违反规定使用、骗取财政资金以及政府承贷或者担保的外国政府贷款、国际金融组织贷款的行为。……”2．财政部《外国政府贷款管理规定》（财金〔2008〕176号）“第四十九条项目单位未按本规定第十一条履行相应职责，财政部可予以批评、暂停贷款资金的提取和支付、加速未到期贷款债务的偿还、追回已支付资金及其形成的资产、收取资金占用费或者违约金、停止安排贷款，并建议行业主管部门或地方政府依法处理。”3．没有其他更合适的法规可作为处理处罚依据时，上述定性法规依据同时也可作为处理依据。,财政违法行为处罚处分条例;外国政府贷款管理规定;第十二条;撤职处分;通报批评;处罚依据;没收违法所得;国际金融组织贷款;资金;有关;给予;外国政府贷款;处理;处罚;使用
城镇企业职工基本医疗保险未及时参保登记的审计,处罚依据,法规名称1：《社会保险费征缴暂行条例》发文字号：国务院令第259号。法规条目：第二十三条缴费单位未按照规定办理社会保险登记、变更登记或者注销登记，或者未按照规定申报应缴纳的社会保险费数额的，由劳动保障行政部门责令限期改正；情节严重的，对直接负责的主管人员和其他直接责任人员可以处1000元以上5000元以下的罚款；情节特别严重的，对直接负责的主管人员和其他直接责任人员可以处5000元以上10000元以下的罚款。法规名称2：《社会保险法》发文字号：中华人民共和国主席令第三十五号。法规条目：第八十六条用人单位未按时足额缴纳社会保险费的，由社会保险费征收机构责令限期缴纳或者补足，并自欠缴之日起，按日加收万分之五的滞纳金；逾期仍不缴纳的，由有关行政部门处欠缴数额一倍以上三倍以下的罚款。,社会保险费;社会保险费征缴暂行条例;社会保险法;行政部门;国务院令;责令;法规条目;缴纳;限期;中华人民共和国主席令
施工图设计未经审查或审查不合格擅自施工审计处理,定性依据,（一）《建设工程质量管理条例》“第十一条建设单位应当将施工图设计文件报县级以上人民政府建设行政主管部门或者其他有关部门审查。施工图设计文件未经审查批准的，不得使用。”（二）原建设部《房屋建筑和市政基础设施工程施工图设计文件审查管理办法》（2004年建设部第134号令）“第三条国家实施施工图设计文件（含勘察文件，以下简称施工图）审查制度。本办法所称施工图审查，是指建设主管部门认定的施工图审查机构（以下简称审查机构）按照有关法律、法规，对施工图涉及公共利益、公众安全和工程建设强制性标准的内容进行的审查。施工图未经审查合格的，不得使用。”三、处理处罚依据《建设工程质量管理条例》“第五十六条违反本条例规定，对建设单位有下列行为之一的，责令改正，处20万元以上50万元以下的罚款：……（四）施工图设计文件未经审查或者审查不合格，擅自施工的；……”四、参考文献[1]《建设工程质量管理条例》[2]原建设部《房屋建筑和市政基础设施工程施工图设计文件审查管理办法》（2004年建设部第134号令）,主管部门;施工图;房屋建筑和市政基础设施工程施工图设计文件审查管理办法;审查;施工图设计文件;万元以上;参考文献;建设工程质量管理条例;建设单位;第十一条
勘察、设计单位未执行相关标准和要求审计处理,定性依据,（一）《建设工程勘察设计管理条例》“第五条第二款：建设工程勘察、设计单位必须依法进行建设工程勘察、设计，严格执行工程建设强制性标准，并对建设工程勘察、设计的质量负责。”“第二十六条：编制建设工程勘察文件，应当真实、准确，满足建设工程规划、选址、设计、岩土治理和施工的需要。”“第二十七条第一款：设计文件中选用的材料、构配件、设备，应当注明其规格、型号、性能等技术指标，其质量要求必须符合国家规定的标准。”（二）《建设工程质量管理条例》“第十九条勘察、设计单位必须按照工程建设强制性标准进行勘察、设计，并对其勘察、设计的质量负责。注册建筑师、注册结构工程师等注册执业人员应当在设计文件上签字，对设计文件负责。第二十条：勘察单位提供的地质、测量、水文等勘察成果必须真实、准确。第二十一条：设计单位应当根据勘察成果文件进行建设工程设计。设计文件应当符合国家规定的设计深度要求，注明工程合理使用年限。第二十二条第一款：设计单位在设计文件中选用的建筑材料、建筑构配件和设备，应当注明规格、型号、性能等技术指标，其质量要求必须符合国家规定的标准。”,建设工程;设计;设计文件;工程建设;勘察;应当;强制性;第一款;质量要求;建设工程质量管理条例
建设单位违规要求设计或者施工单位降低强制性建设标准审计处理,定性依据,（一）《建设工程质量管理条例》“第十条建设工程发包单位不得迫使承包方以低于成本的价格竞标。建设单位不得明示或者暗示设计单位或者施工单位违反工程建设强制性标准，降低建设工程质量。（二）《中华人民共和国建筑法》“第五十四条建设单位不得以任何理由，要求建筑设计单位或者建筑施工企业在工程设计或者施工作业中，违反法律、行政法规和建筑工程质量、安全标准，降低工程质量。建筑设计单位和建筑施工企业对建设单位违反前款规定提出的降低工程质量的要求，应当予以拒绝。”,建设工程质量管理条例;中华人民共和国建筑法;降低;违反;单位
施工单位违规多计工程价款审计处理,定性依据,（一）《建设工程价款结算暂行办法》（财建〔2004〕369号）“第十三条工程进度款结算与支付应当符合下列规定：（二）工程量计算3、对承包人超出设计图纸（含设计变更）范围和因承包人原因造成返工的工程量，发包人不予计量。”（二）合同、招投标文件、图纸、定额等。（三）各地有关规定。,第十三条;建设工程价款结算暂行办法;设计图纸;工程量;承包人
竣工验收后未按规定时间向城乡规划主管部门报送有关竣工验收资料审计处理,定性依据,《中华人民共和国城乡规划法》“第四十五条……建设单位应当在竣工验收后六个月内向城乡规划主管部门报送有关竣工验收资料。”,主管部门;验收资料;建设单位;六个月;中华人民共和国城乡规划法
隐匿结余资金审计处理,定性依据,《基本建设财务管理规定》（财建〔2002〕394号）“第十四条建设项目在编制竣工财务决算前要认真清理结余资金。应变价处理的库存设备、材料以及应处理的自用固定资产要公开变价处理，应收、应付款项要及时清理，清理出来的结余资金按下列情况进行财务处理:经营性项目的结余资金，相应转入生产经营企业的有关资产。非经营性项目的结余资金，首先用于归还项目贷款。如有结余，30%作为建设单位留成收入，主要用于项目配套设施建设、职工奖励和工程质量奖，70%按投资来源比例归还投资方。”“第十五条项目建设单位应当将应交财政的竣工结余资金在竣工财务决算批复后30日内上交财政。”,基本建设财务管理规定;第十四条;建设单位;财务决算;结余资金;库存设备;应付款项;经营性;非经营性;竣工
超过实际完成产值申请工程进度款,常见错弊,某集团公司拟建办公楼，建筑面积52108平方米，地下2层，地上20层，结构形式为钢筋砼框架结构，基础类型为筏板基础。室外装修主要以干挂石材为主，局部采用玻璃幕墙。室内装修主要为室内地面铺大理石、墙面贴壁纸及刷涂料、轻钢龙骨石膏板造型吊顶。2010年10月，该工程通过公开招标确定了施工总承包单位，签订了固定单价合同，双方在合同中就工程进度款的支付比例、支付时间及计价方式等进行了相关约定。跟踪审计人员在审计中发现以下问题：1.超过实际完成工程量申报工程产值，多申请工程进度款。施工总承包单位当月完成的玻璃幕墙工程量为2370平方米，该玻璃幕墙的综合单价为1230元/平方米，按照合同约定，当月申报的工程产值应该为291.51万元。而审核中发现，施工总承包单位以当月进场验收的玻璃幕墙面积3185平方米申报工程产值，多申报工程进度款100.25万元。2.暂估价材料单价高于施工同期市场采购价未经审核确认，多申请工程进度款。当月施工的室外墙面干挂石材为暂估价材料，根据合同约定，暂估价材料的价格、质量、规格型号必须经发包人代表和监理工程师共同认可，按确认后的价格以及当月实际完成工程量申请工程进度款。但审核中发现，当月完成施工的干挂石材墙面为1462平方米，以暂估价计入的该干挂石材综合单价为1180元/平方米，而经审核后认定该干挂石材的综合单价为956元/平方米，由此施工总承包单位多申请工程进度款32.75万元。,办公楼;石膏板;公开招标;集团公司;规格型号;承包单位;玻璃幕墙;大理石;跟踪审计;结构形式;框架结构;建筑面积;施工;工程量;工程进度款
变更增加的措施费用计算不合理,常见错弊,某集团厂房扩建工程，3层框架结构，独立基础，檐口高度14.5米，建筑面积9987平方米，资金来源为企业自筹。该项目于2009年12月立项，2010年2月完成勘察，2010年4月施工图设计完成后，5月委托某招标代理公司通过公开招标，确定了施工单位。2010年6月签订了施工合同，合同金额1267万元，合同工期为2010年6月至2011年5月。该工程基础施工过程中，开挖基坑时发现地质情况与招标文件中提供的地勘资料差别较大，接近基底处有大量地下水涌出，根据现场监理工程师及业主代表的要求，施工单位随即采用了四台50KW的抽水机同时抽取基坑内地下水的措施，保证了基础工程得以顺利进行。同时，施工单位申报了增加的施工排水、施工降水等措施费用。造价工程师在审核中发现，施工排水、降水措施费用是按照20000元/天×19天=380000元申报的，而套用该省消耗量定额（2006年）的相应子目计算的费用为255047元，相差124953元。跟踪审计人员在现场审核该变更时，首先对招投标文件以及招投标双方的清单文件进行了仔细研究，发现原招标文件未说明有地下水的地质情况，投标报价中也未计算施工排水、降水等措施费用。开挖基坑时发现有大量地下水，导致增加排水设施，发生了措施费用。根据《建设工程工程量清单计价规范》的规定，因分部分项工程量清单漏项或非承包人原因的工程变更，引起措施项目发生变化，造成施工组织设计或施工方案变更，原措施费中已有的措施项目，按原有措施费的组价方法调整；原措施费中没有的措施项目，由承包人根据措施项目变更情况，提出适当的措施费变更，经发包人确认后调整。工程应增加施工排水、降水措施费。而施工单位按天申报增加的施工排水、降水措施费，与套用相应定额比较，计算不合理。,扩建工程;公开招标;合同金额;施工单位;措施;招标文件;工程量清单;框架结构;资金来源;建筑面积;平方米;排水;地下水;施工;施工图设计
未按规定处理结余资金,定性依据,财政部《基本建设财务管理规定》（财建〔2002〕394号）“第十四条建设项目在编制竣工财务决算前要认真清理结余资金。应变价处理的库存设备、材料以及应处理的自用固定资产要公开变价处理，应收、应付款项要及时清理，清理出来的结余资金按下列情况进行财务处理:经营性项目的结余资金，相应转入生产经营企业的有关资产。非经营性项目的结余资金，首先用于归还项目贷款。如有结余，30%作为建设单位留成收入，主要用于项目配套设施建设、职工奖励和工程质量奖，70%按投资来源比例归还投资方。第十五条项目建设单位应当将应交财政的竣工结余资金在竣工财务决算批复后30日内上交财政。”,第十四条;基本建设财务管理规定;建设单位;财务决算;结余资金;库存设备;应付款项;经营性;竣工;处理
